Pins_Knocked ,Throw_Angle ,fast,medium
0.5,0.2,1.0,0.0
0.3125,0.8,0.0,1.0
0.4375,0.6000000000000001,1.0,0.0
0.375,0.39999999999999997,0.0,1.0
0.4375,0.0,1.0,0.0
0.4375,0.2,1.0,0.0
0.5625,0.2,0.0,1.0
0.5,0.0,0.0,1.0
0.4375,0.2,1.0,0.0
0.4375,0.2,0.0,1.0
0.4375,0.2,1.0,0.0
0.5,0.0,1.0,0.0
0.5,0.0,1.0,0.0
0.375,0.2,0.0,1.0
0.1875,0.6000000000000001,0.0,1.0
0.4375,0.2,0.0,1.0
0.5,0.0,1.0,0.0
0.4375,0.0,1.0,0.0
0.5625,0.2,0.0,1.0
0.1875,0.8,0.0,1.0
0.3125,0.0,1.0,0.0
0.5,0.2,1.0,0.0
0.375,0.0,1.0,0.0
0.1875,1.0,0.0,1.0
0.5,0.0,1.0,0.0
0.5,0.0,0.0,1.0
0.5625,0.2,1.0,0.0
0.5,0.2,0.0,1.0
0.25,0.6000000000000001,0.0,1.0
0.375,0.39999999999999997,0.0,1.0
0.5,0.2,1.0,0.0
0.5625,0.0,0.0,1.0
0.0,0.8,1.0,0.0
0.5625,0.0,1.0,0.0
0.5,0.2,1.0,0.0
0.5625,0.2,1.0,0.0
1.0,0.0,1.0,0.0
0.75,0.2,0.0,1.0
0.4375,0.39999999999999997,0.0,1.0
0.3125,0.8,0.0,1.0
